rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
48,086790,하나금융지주,KOSPI,26830608469600,96400.0,20.0,5.0,0.0,0.0,10.0,35.0,91700.0,4.875518672199171,0.0,7.385537904868863,-,93970.0,93424.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
49,290650,엘앤씨바이오,KOSDAQ,1371281877600,55200.0,15.0,5.0,5.0,0.0,10.0,35.0,53400.0,3.260869565217391,26.89075630252101,49.69095124792977,-,61695.0,59774.0,3,False,5.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
50,006280,녹십자,KOSPI,1873352041400,160300.0,17.0,0.0,8.0,0.0,10.0,35.0,152300.0,4.990642545227699,100.0,22.92169873950664,-,160635.0,147004.0,1,False,0.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
51,475830,오름테라퓨틱,KOSDAQ,2586102422400,121800.0,25.0,0.0,5.0,0.0,5.0,35.0,108700.0,10.755336617405582,92.43697478991596,66.65088659245198,-,115820.0,85492.0,3,False,0.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
52,319660,피에스케이,KOSDAQ GLOBAL,1206463638100,41650.0,25.0,0.0,0.0,0.0,10.0,35.0,40450.0,2.881152460984394,57.142857142857146,67.29805023707411,-,38712.5,35280.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
53,055550,신한지주,KOSPI,38451198772800,79200.0,20.0,5.0,0.0,0.0,10.0,35.0,76600.0,3.2828282828282833,0.0,26.58932621654594,-,78000.0,78118.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
54,039030,이오테크닉스,KOSDAQ GLOBAL,3695865000000,300000.0,25.0,0.0,0.0,0.0,10.0,35.0,295000.0,1.6666666666666667,48.739495798319325,54.20018351640257,-,285500.0,276270.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
55,108490,로보티즈,KOSDAQ,3751797660000,257500.0,18.0,5.0,5.0,0.0,7.0,35.0,233500.0,9.320388349514563,6.722689075630252,29.342277525241965,-,261650.0,249496.0,3,False,5.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
56,068270,셀트리온,KOSPI,48270842521000,209000.0,25.0,0.0,0.0,0.0,10.0,35.0,200500.0,4.0669856459330145,89.07563025210084,44.89511865292031,-,198765.0,190006.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
57,189300,인텔리안테크,KOSDAQ,739526712600,68900.0,25.0,0.0,0.0,0.0,10.0,35.0,66300.0,3.7735849056603774,100.0,83.7910796696872,-,63862.5,51351.0,1,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
